"CAS_number";"infocard";"STP_PNEC";"URL_Log";"min_STP_PNEC_mg/L";"max_STP_PNEC_mg/L";"STP_PNEC_flag"
"1417456-04-2";"100.235.576";NA;NA;NA;NA;"Missing_PNEC"
"14177-51-6";"100.034.560";NA;NA;NA;NA;"Missing_PNEC"
"14177-55-0";"100.034.561";NA;NA;NA;NA;"Missing_PNEC"
"141772-37-4";"100.102.546";NA;NA;NA;NA;"Missing_PNEC"
"141773-73-1";"100.101.448";"10 mg/L (1)";NA;10;10;"N/A"
"1417782-28-5";"100.244.519";NA;NA;NA;NA;"Missing_PNEC"
"141818-73-7";"100.123.497";NA;NA;NA;NA;"Missing_PNEC"
"141846-60-8";"100.247.851";NA;NA;NA;NA;"Missing_PNEC"
"141847-13-4";"100.101.028";NA;NA;NA;NA;"Missing_PNEC"
"141880-36-6";"100.100.974";NA;NA;NA;NA;"Missing_PNEC"
"141890-30-4";"100.101.376";NA;NA;NA;NA;"Missing_PNEC"
"141914-99-0";"100.119.252";NA;NA;NA;NA;"Missing_PNEC"
"141915-64-2";"100.100.943";NA;NA;NA;NA;"Missing_PNEC"
"14192-26-8";"100.128.934";NA;NA;NA;NA;"Missing_PNEC"
"1419212-73-9";"100.226.566";"100 mg/L (1)";NA;100;100;"N/A"
"1419212-76-2";"100.226.897";"5 mg/L (1)";NA;5;5;"N/A"
"1419212-77-3";"100.233.558";"5 mg/L (1)";NA;5;5;"N/A"
"1419401-88-9";"100.224.993";"100 mg/L (1)";NA;100;100;"N/A"
"141942-85-0";"100.102.856";NA;NA;NA;NA;"Missing_PNEC"
"14199-15-6";"100.034.576";NA;NA;NA;NA;"Missing_PNEC"
"142-03-0";"100.005.017";"90 mg/L (1)";NA;90;90;"N/A"
"142-09-6";"100.005.020";NA;NA;NA;NA;"Missing_PNEC"
"142-16-5";"100.005.022";"100 mg/L (1)";NA;100;100;"N/A"
"142-17-6";"100.005.023";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"142-18-7";"100.005.024";"-";NA;NA;NA;"Missing_PNEC"
"142-19-8";"100.005.025";"10 mg/L (1)";NA;10;10;"N/A"
"142-22-3";"100.005.026";"4.7 mg/L (1)";NA;4.7;4.7;"N/A"
"142-26-7";"100.005.028";NA;NA;NA;NA;"Missing_PNEC"
"142-28-9";"100.005.029";NA;NA;NA;NA;"Missing_PNEC"
"142-29-0";"100.005.030";NA;NA;NA;NA;"Missing_PNEC"
"142-30-3";"100.005.031";NA;NA;NA;NA;"Missing_PNEC"
"142-31-4";"100.005.032";"1.35 mg/L (1)";NA;1.35;1.35;"N/A"
"142-47-2";"100.005.035";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"142-61-0";"100.005.045";NA;NA;NA;NA;"Missing_PNEC"
"142-62-1";"100.005.046";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"142-71-2";"100.005.049";"230 µg/L (1)";NA;0.23;0.23;"N/A"
"142-72-3";"100.005.050";"625 mg/L (1)";NA;625;625;"N/A"
"142-78-9";"100.005.055";"100 mg/L (1)";NA;100;100;"N/A"
"142-82-5";"100.005.058";NA;NA;NA;NA;"Missing_PNEC"
"142-84-7";"100.005.060";NA;NA;NA;NA;"Missing_PNEC"
"142-87-0";"100.005.062";"1.35 mg/L (1)";NA;1.35;1.35;"N/A"
"142-88-1";"100.005.063";"91.62 mg/L (1)";NA;91.62;91.62;"N/A"
"142-90-5";"100.005.064";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"142-91-6";"100.005.065";"-";NA;NA;NA;"Missing_PNEC"
"142-92-7";"100.005.066";"1 mg/L (1)";NA;1;1;"N/A"
"142-96-1";"100.005.069";"10 mg/L (1)";NA;10;10;"N/A"
"1420-53-7";"100.014.380";NA;NA;NA;NA;"Missing_PNEC"
"14205-39-1";"100.034.581";NA;NA;NA;NA;"Missing_PNEC"
"14205-46-0";"100.122.776";NA;NA;NA;NA;"Missing_PNEC"
"142050-95-1";"100.105.081";NA;NA;NA;NA;"Missing_PNEC"
"142051-76-1";"100.101.074";NA;NA;NA;NA;"Missing_PNEC"
"14206-62-3";"100.034.588";NA;NA;NA;NA;"Missing_PNEC"
"142068-96-0";"100.101.277";"1 mg/L (1)";NA;1;1;"N/A"
"142104-11-8";"100.104.591";NA;NA;NA;NA;"Missing_PNEC"
"14214-31-4";"100.112.336";NA;NA;NA;NA;"Missing_PNEC"
"1421439-99-7";"100.226.266";NA;NA;NA;NA;"Missing_PNEC"
"1421695-64-8";"100.234.836";NA;NA;NA;NA;"Missing_PNEC"
"1421927-53-8";"100.249.032";NA;NA;NA;NA;"Missing_PNEC"
"14221-01-3";"100.034.609";NA;NA;NA;NA;"Missing_PNEC"
"14224-80-7";"100.112.304";NA;NA;NA;NA;"Missing_PNEC"
"1422423-64-0";"100.226.227";"100 mg/L (1)";NA;100;100;"N/A"
"14228-73-0";"100.034.620";"600 µg/L (1)";NA;0.6;0.6;"N/A"
"1423-46-7";"100.014.394";NA;NA;NA;NA;"Missing_PNEC"
"1423018-01-2";"100.234.022";NA;NA;NA;NA;"Missing_PNEC"
"14233-37-5";"100.034.622";NA;NA;NA;NA;"Missing_PNEC"
"14234-82-3";"100.034.623";NA;NA;NA;NA;"Missing_PNEC"
"1424-00-6";"100.014.397";NA;NA;NA;NA;"Missing_PNEC"
"1424148-97-9";"100.227.306";"100 mg/L (1)";NA;100;100;"N/A"
"1424149-03-0";"100.227.305";"10 mg/L (1)";NA;10;10;"N/A"
"14246-53-8";"100.034.641";"3.4 mg/L (1)";NA;3.4;3.4;"N/A"
"1426148-68-6";"100.226.480";"62 mg/L (1)";NA;62;62;"N/A"
"14264-16-5";"100.034.670";NA;NA;NA;NA;"Missing_PNEC"
"142653-61-0";"100.101.423";NA;NA;NA;NA;"Missing_PNEC"
"142680-85-1";"100.108.694";NA;NA;NA;NA;"Missing_PNEC"
"1427359-55-4";"100.216.732";NA;NA;NA;NA;"Missing_PNEC"
"1427388-03-1";"100.227.572";NA;NA;NA;NA;"Missing_PNEC"
"142770-42-1";"100.101.488";NA;NA;NA;NA;"Missing_PNEC"
"142776-95-2";"100.102.963";NA;NA;NA;NA;"Missing_PNEC"
"14281-83-5";"100.034.687";NA;NA;NA;NA;"Missing_PNEC"
"142819-94-1";"100.115.510";NA;NA;NA;NA;"Missing_PNEC"
"1428243-24-6";"100.254.815";NA;NA;NA;NA;"Missing_PNEC"
"14283-07-9";"100.034.692";"100 mg/L (1)";NA;100;100;"N/A"
"1428353-74-5";"100.233.961";"10 mg/L (1)";NA;10;10;"N/A"
"1428362-10-0";"100.238.083";NA;NA;NA;NA;"Missing_PNEC"
"142844-00-6";"100.133.434";NA;NA;NA;NA;"Missing_PNEC"
"1428450-95-6";"100.235.348";NA;NA;NA;NA;"Missing_PNEC"
"1428451-07-3";"100.235.319";NA;NA;NA;NA;"Missing_PNEC"
"14285-59-7";"100.034.712";NA;NA;NA;NA;"Missing_PNEC"
"1428547-35-6";"100.227.561";"1.51 mg/L (1)";NA;1.51;1.51;"N/A"
"142857-24-7";"100.114.991";NA;NA;NA;NA;"Missing_PNEC"
"142859-67-4";"100.100.861";NA;NA;NA;NA;"Missing_PNEC"
"14286-02-3";"100.034.715";NA;NA;NA;NA;"Missing_PNEC"
"142874-81-5";"100.113.698";NA;NA;NA;NA;"Missing_PNEC"
"142877-45-0";"100.103.598";NA;NA;NA;NA;"Missing_PNEC"
"1429-50-1";"100.014.410";NA;NA;NA;NA;"Missing_PNEC"
"1429469-15-7";"100.246.265";NA;NA;NA;NA;"Missing_PNEC"
"1429755-57-6";"100.247.779";NA;NA;NA;NA;"Missing_PNEC"
"1429755-58-7";"100.307.359";NA;NA;NA;NA;"Missing_PNEC"
"143-06-6";"100.005.074";"3.16 mg/L (1)";NA;3.16;3.16;"N/A"
"143-07-7";"100.005.075";"912 mg/L (1)";NA;912;912;"N/A"
"143-08-8";"100.005.076";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"143-13-5";"100.005.078";NA;NA;NA;NA;"Missing_PNEC"
"143-15-7";"100.005.080";NA;NA;NA;NA;"Missing_PNEC"
"143-22-6";"100.005.084";"199.5 - 200 mg/L (2)";NA;199.5;200;"N/A"
"143-23-7";"100.005.085";"1.8 mg/L (1)";NA;1.8;1.8;"N/A"
"143-24-8";"100.005.086";"500 mg/L (1)";NA;500;500;"N/A"
"143-27-1";"100.005.088";NA;NA;NA;NA;"Missing_PNEC"
"143-28-2";"100.005.089";"1 mg/L (1)";NA;1;1;"N/A"
"143-29-3";"100.005.090";"44 mg/L (1)";NA;44;44;"N/A"
"143-33-9";"100.005.091";"50 µg/L (1)";NA;0.05;0.05;"N/A"
"1430063-92-5";"100.366.808";NA;NA;NA;NA;"Missing_PNEC"
"14301-36-1";"100.034.746";NA;NA;NA;NA;"Missing_PNEC"
"14302-13-7";"100.034.747";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"143052-96-4";"100.101.568";NA;NA;NA;NA;"Missing_PNEC"
"14306-25-3";"100.034.750";NA;NA;NA;NA;"Missing_PNEC"
"14309-15-0";"100.283.079";NA;NA;NA;NA;"Missing_PNEC"
"1431329-04-2";"100.265.132";NA;NA;NA;NA;"Missing_PNEC"
"1431329-07-5";"100.237.780";NA;NA;NA;NA;"Missing_PNEC"
"143145-93-1";"100.101.103";NA;NA;NA;NA;"Missing_PNEC"
"14315-63-0";"100.262.840";NA;NA;NA;NA;"Missing_PNEC"
"14316-06-4";"100.034.765";NA;NA;NA;NA;"Missing_PNEC"
"1431696-36-4";"100.232.415";NA;NA;NA;NA;"Missing_PNEC"
"143183-03-3";"100.123.887";NA;NA;NA;NA;"Missing_PNEC"
"14320-04-8";"100.034.768";NA;NA;NA;NA;"Missing_PNEC"
"14321-27-8";"100.034.771";NA;NA;NA;NA;"Missing_PNEC"
"14323-43-4";"100.034.775";"526 µg/L (1)";NA;0.526;0.526;"N/A"
"143230-42-6";"100.127.149";NA;NA;NA;NA;"Missing_PNEC"
"143239-08-1";"100.101.035";"100 mg/L (2)";NA;100;100;"N/A"
"14324-55-1";"100.034.776";"560 µg/L (1)";NA;0.56;0.56;"N/A"
"1432505-97-9";"100.233.480";NA;NA;NA;NA;"Missing_PNEC"
"143269-74-3";"100.101.843";NA;NA;NA;NA;"Missing_PNEC"
"143314-16-3";"100.196.838";NA;NA;NA;NA;"Missing_PNEC"
"143314-17-4";"100.124.661";NA;NA;NA;NA;"Missing_PNEC"
"143322-57-0";"100.102.096";NA;NA;NA;NA;"Missing_PNEC"
"14338-82-0";"100.034.793";NA;NA;NA;NA;"Missing_PNEC"
"143382-03-0";"100.116.978";NA;NA;NA;NA;"Missing_PNEC"
"143390-89-0";"100.109.581";NA;NA;NA;NA;"Missing_PNEC"
"1434054-87-1";"100.223.445";NA;NA;NA;NA;"Missing_PNEC"
"1434079-71-6";"100.223.590";NA;NA;NA;NA;"Missing_PNEC"
"1434127-91-9";"100.259.719";NA;NA;NA;NA;"Missing_PNEC"
"143418-49-9";"100.121.737";NA;NA;NA;NA;"Missing_PNEC"
"143446-73-5";"100.103.178";NA;NA;NA;NA;"Missing_PNEC"
"1434484-97-5";"100.223.221";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"14345-97-2";"100.034.799";NA;NA;NA;NA;"Missing_PNEC"
"1434621-91-6";"100.223.222";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"143468-96-6";"100.101.467";NA;NA;NA;NA;"Missing_PNEC"
"143487-47-2";"100.113.620";NA;NA;NA;NA;"Missing_PNEC"
"1435-48-9";"100.100.772";NA;NA;NA;NA;"Missing_PNEC"
"1435-71-8";"100.014.421";NA;NA;NA;NA;"Missing_PNEC"
"14352-61-5";"100.220.650";NA;NA;NA;NA;"Missing_PNEC"
"14359-97-8";"100.034.832";NA;NA;NA;NA;"Missing_PNEC"
"1436-59-5";"100.117.844";NA;NA;NA;NA;"Missing_PNEC"
"14367-46-5";"100.034.839";NA;NA;NA;NA;"Missing_PNEC"
"143683-23-2";"100.101.071";"3.2 mg/L (1)";NA;3.2;3.2;"N/A"
"14371-10-9";"100.111.079";NA;NA;NA;NA;"Missing_PNEC"
"143747-72-2";"100.101.090";NA;NA;NA;NA;"Missing_PNEC"
"143747-73-3";"100.101.015";NA;NA;NA;NA;"Missing_PNEC"
"143782-23-4";"100.224.629";NA;NA;NA;NA;"Missing_PNEC"
"143785-33-5";"100.263.323";NA;NA;NA;NA;"Missing_PNEC"
"1438383-89-1";"100.235.071";NA;NA;NA;NA;"Missing_PNEC"
"1438383-92-6";"100.238.373";NA;NA;NA;NA;"Missing_PNEC"
"14384-34-0";"100.106.865";NA;NA;NA;NA;"Missing_PNEC"
"1438425-69-4";"100.252.794";NA;NA;NA;NA;"Missing_PNEC"
"143860-04-2";"100.101.975";NA;NA;NA;NA;"Missing_PNEC"
"143885-59-0";"100.244.622";NA;NA;NA;NA;"Missing_PNEC"
"143900-44-1";"100.154.780";NA;NA;NA;NA;"Missing_PNEC"
"143925-92-2";"100.101.719";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1439355-19-7";"100.252.789";NA;NA;NA;NA;"Missing_PNEC"
"144-02-5";"100.005.104";NA;NA;NA;NA;"Missing_PNEC"
"144-11-6";"100.005.105";NA;NA;NA;NA;"Missing_PNEC"
"144-15-0";"100.005.107";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"144-19-4";"100.005.109";"20 mg/L (1)";NA;20;20;"N/A"
"144-29-6";"100.005.112";NA;NA;NA;NA;"Missing_PNEC"
"144-33-2";"100.005.113";NA;NA;NA;NA;"Missing_PNEC"
"144-39-8";"100.005.116";NA;NA;NA;NA;"Missing_PNEC"
"144-55-8";"100.005.122";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"144-62-7";"100.005.123";"1.55 g/L (1)";NA;1550;1550;"N/A"
"144-74-1";"100.005.126";NA;NA;NA;NA;"Missing_PNEC"
"144-80-9";"100.005.128";NA;NA;NA;NA;"Missing_PNEC"
"144-83-2";"100.005.130";NA;NA;NA;NA;"Missing_PNEC"
"1440-00-2";"100.103.970";NA;NA;NA;NA;"Missing_PNEC"
"14402-88-1";"100.034.869";"59 mg/L (1)";NA;59;59;"N/A"
"144020-22-4";"100.105.384";"1 mg/L (1)";NA;1;1;"N/A"
"14406-71-4";"100.100.285";NA;NA;NA;NA;"Missing_PNEC"
"144086-02-2";"100.122.194";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"144086-03-3";"100.105.803";"10 mg/L (1)";NA;10;10;"N/A"
"1441045-54-0";"100.321.979";NA;NA;NA;NA;"Missing_PNEC"
"144111-81-9";"100.103.948";NA;NA;NA;NA;"Missing_PNEC"
"144163-97-3";"100.205.692";NA;NA;NA;NA;"Missing_PNEC"
"1441670-89-8";"100.228.214";NA;NA;NA;NA;"Missing_PNEC"
"1441673-92-2";"100.232.466";NA;NA;NA;NA;"Missing_PNEC"
"144177-62-8";"100.104.121";NA;NA;NA;NA;"Missing_PNEC"
"14423-79-1";"100.132.988";NA;NA;NA;NA;"Missing_PNEC"
"1443-80-7";"100.014.441";NA;NA;NA;NA;"Missing_PNEC"
"144317-44-2";"100.105.187";NA;NA;NA;NA;"Missing_PNEC"
"1443224-69-8";"100.104.737";"10 mg/L (1)";NA;10;10;"N/A"
"14433-76-2";"100.034.898";"2.12 mg/L (1)";NA;2.12;2.12;"N/A"
"144333-84-6";"100.148.990";NA;NA;NA;NA;"Missing_PNEC"
"1443532-21-5";"100.263.816";NA;NA;NA;NA;"Missing_PNEC"
"1443623-92-4";"100.282.668";NA;NA;NA;NA;"Missing_PNEC"
"1443751-77-6";"100.224.628";NA;NA;NA;NA;"Missing_PNEC"
"144413-22-9";"100.103.247";NA;NA;NA;NA;"Missing_PNEC"
"14442-94-5";"100.213.638";NA;NA;NA;NA;"Missing_PNEC"
"144429-84-5";"100.220.452";"100 mg/L (1)";NA;100;100;"N/A"
"144447-11-0";"100.103.355";NA;NA;NA;NA;"Missing_PNEC"
"1445-45-0";"100.014.448";"10 mg/L (1)";NA;10;10;"N/A"
"1445-73-4";"100.014.450";NA;NA;NA;NA;"Missing_PNEC"
"1445-79-0";"100.014.452";NA;NA;NA;NA;"Missing_PNEC"
"14450-05-6";"100.034.921";NA;NA;NA;NA;"Missing_PNEC"
"144538-83-0";"100.117.797";NA;NA;NA;NA;"Missing_PNEC"
"144550-06-1";"100.102.823";NA;NA;NA;NA;"Missing_PNEC"
"1445866-55-6";"100.315.908";NA;NA;NA;NA;"Missing_PNEC"
"1445870-18-7";"100.234.499";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1446013-08-6";"100.249.061";NA;NA;NA;NA;"Missing_PNEC"
"1446129-87-8";"100.241.616";NA;NA;NA;NA;"Missing_PNEC"
"1446134-16-2";"100.241.999";NA;NA;NA;NA;"Missing_PNEC"
"144653-38-3";"100.101.554";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1446701-54-7";"100.275.250";NA;NA;NA;NA;"Missing_PNEC"
"144689-24-7";"100.174.243";NA;NA;NA;NA;"Missing_PNEC"
"144689-93-0";"100.131.202";NA;NA;NA;NA;"Missing_PNEC"
"144690-33-5";"100.110.990";NA;NA;NA;NA;"Missing_PNEC"
"144690-92-6";"100.116.881";NA;NA;NA;NA;"Missing_PNEC"
"144690-96-0";"100.225.638";NA;NA;NA;NA;"Missing_PNEC"
"144702-27-2";"100.105.304";NA;NA;NA;NA;"Missing_PNEC"
"144728-59-6";"100.113.132";NA;NA;NA;NA;"Missing_PNEC"
"144736-29-8";"100.101.266";NA;NA;NA;NA;"Missing_PNEC"
"144740-59-0";"100.101.982";NA;NA;NA;NA;"Missing_PNEC"
"1447712-18-6";"100.235.172";NA;NA;NA;NA;"Missing_PNEC"
"1448-36-8";"100.014.458";NA;NA;NA;NA;"Missing_PNEC"
"14481-26-6";"100.034.962";NA;NA;NA;NA;"Missing_PNEC"
"14484-64-1";"100.034.970";"588 µg/L (1)";NA;0.588;0.588;"N/A"
"14484-69-6";"100.034.971";"360 µg/L (1)";NA;0.36;0.36;"N/A"
"144850-45-3";"100.121.992";NA;NA;NA;NA;"Missing_PNEC"
"14487-05-9";"100.034.978";NA;NA;NA;NA;"Missing_PNEC"
"1448790-48-4";"100.225.792";NA;NA;NA;NA;"Missing_PNEC"
"14488-58-5";"100.259.979";NA;NA;NA;NA;"Missing_PNEC"
"14489-75-9";"100.034.982";NA;NA;NA;NA;"Missing_PNEC"
"144900-34-5";"100.116.409";NA;NA;NA;NA;"Missing_PNEC"
"1449104-34-0";"100.259.422";NA;NA;NA;NA;"Missing_PNEC"
"1449413-05-1";"100.264.768";NA;NA;NA;NA;"Missing_PNEC"
"1449413-23-3";"100.238.430";NA;NA;NA;NA;"Missing_PNEC"
"1449567-31-0";"100.246.373";NA;NA;NA;NA;"Missing_PNEC"
"144978-12-1";"100.105.288";NA;NA;NA;NA;"Missing_PNEC"
"145-13-1";"100.005.135";NA;NA;NA;NA;"Missing_PNEC"
"1450-14-2";"100.014.465";NA;NA;NA;NA;"Missing_PNEC"
"145022-44-2";"100.204.945";NA;NA;NA;NA;"Missing_PNEC"
"145022-45-3";"100.123.153";NA;NA;NA;NA;"Missing_PNEC"
"145027-96-9";"100.237.858";NA;NA;NA;NA;"Missing_PNEC"
"145052-34-2";"100.101.140";NA;NA;NA;NA;"Missing_PNEC"
"14507-19-8";"100.034.994";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"14507-43-8";"100.220.064";NA;NA;NA;NA;"Missing_PNEC"
"14507-45-0";"100.034.996";NA;NA;NA;NA;"Missing_PNEC"
"14507-49-4";"100.034.997";NA;NA;NA;NA;"Missing_PNEC"
"1450933-43-3";"100.283.826";NA;NA;NA;NA;"Missing_PNEC"
"1450933-88-6";"100.231.948";NA;NA;NA;NA;"Missing_PNEC"
"14513-34-9";"100.035.001";NA;NA;NA;NA;"Missing_PNEC"
"145153-52-2";"100.103.215";NA;NA;NA;NA;"Missing_PNEC"
"14516-71-3";"100.035.006";NA;NA;NA;NA;"Missing_PNEC"
"1451734-05-6";"100.235.554";NA;NA;NA;NA;"Missing_PNEC"
"14518-69-5";"100.035.010";NA;NA;NA;NA;"Missing_PNEC"
"14523-21-8";"100.035.020";NA;NA;NA;NA;"Missing_PNEC"
"1453-58-3";"100.014.478";"32 mg/L (1)";NA;32;32;"N/A"
"1453-82-3";"100.014.479";NA;NA;NA;NA;"Missing_PNEC"
"14531-34-1";"100.035.035";NA;NA;NA;NA;"Missing_PNEC"
"14531-84-1";"100.219.563";NA;NA;NA;NA;"Missing_PNEC"
"1453810-71-3";"100.238.008";NA;NA;NA;NA;"Missing_PNEC"
"145417-43-2";"100.116.130";NA;NA;NA;NA;"Missing_PNEC"
"14543-49-8";"100.114.957";NA;NA;NA;NA;"Missing_PNEC"
"1454843-77-6";"100.240.926";NA;NA;NA;NA;"Missing_PNEC"
"1455-42-1";"100.105.481";"100 mg/L (1)";NA;100;100;"N/A"
"1455-77-2";"100.014.489";NA;NA;NA;NA;"Missing_PNEC"
"1455358-14-1";"100.355.391";NA;NA;NA;NA;"Missing_PNEC"
"1455358-16-3";"100.355.792";NA;NA;NA;NA;"Missing_PNEC"
"14559-13-8";"100.112.272";NA;NA;NA;NA;"Missing_PNEC"
"14561-40-1";"100.124.543";NA;NA;NA;NA;"Missing_PNEC"
"145641-35-6";"100.105.090";NA;NA;NA;NA;"Missing_PNEC"
"145650-60-8";"100.101.511";"-";NA;NA;NA;"Missing_PNEC"
"145703-76-0";"100.101.450";"1 mg/L (1)";NA;1;1;"N/A"
"14576-08-0";"100.035.094";"10 mg/L (1)";NA;10;10;"N/A"
"145767-92-6";"100.111.074";NA;NA;NA;NA;"Missing_PNEC"
"145783-14-8";"100.149.352";NA;NA;NA;NA;"Missing_PNEC"
"145783-15-9";"100.235.969";NA;NA;NA;NA;"Missing_PNEC"
"1458-01-1";"100.014.497";NA;NA;NA;NA;"Missing_PNEC"
"1458-18-0";"100.014.498";NA;NA;NA;NA;"Missing_PNEC"
"1459-93-4";"100.014.502";"10 mg/L (1)";NA;10;10;"N/A"
"14593-46-5";"100.035.112";NA;NA;NA;NA;"Missing_PNEC"
"14595-54-1";"100.158.799";NA;NA;NA;NA;"Missing_PNEC"
"145963-84-4";"100.101.449";NA;NA;NA;NA;"Missing_PNEC"
"1459754-32-5";"100.238.551";NA;NA;NA;NA;"Missing_PNEC"
"1459754-39-2";"100.238.581";NA;NA;NA;NA;"Missing_PNEC"
"1461-22-9";"100.014.508";NA;NA;NA;NA;"Missing_PNEC"
"1461-25-2";"100.014.510";NA;NA;NA;NA;"Missing_PNEC"
"14611-51-9";"100.109.269";NA;NA;NA;NA;"Missing_PNEC"
"146177-84-6";"100.101.032";"1 mg/L (1)";NA;1;1;"N/A"
"1463-10-1";"100.014.522";NA;NA;NA;NA;"Missing_PNEC"
"14634-93-6";"100.035.146";NA;NA;NA;NA;"Missing_PNEC"
"1463474-95-4";"100.225.415";"47.7 mg/L (1)";NA;47.7;47.7;"N/A"
"14639-25-9";"100.105.162";NA;NA;NA;NA;"Missing_PNEC"
"14639-97-5";"100.035.155";"100 - 372.1 µg/L (2)";NA;0.1;0.3721;"N/A"
"14643-87-9";"100.035.160";"100 µg/L (1)";NA;0.1;0.1;"N/A"
"14644-61-2";"100.035.162";NA;NA;NA;NA;"Missing_PNEC"
"1465004-85-6";"100.246.830";NA;NA;NA;NA;"Missing_PNEC"
"14653-91-9";"100.101.405";NA;NA;NA;NA;"Missing_PNEC"
"146533-41-7";"100.235.242";NA;NA;NA;NA;"Missing_PNEC"
"14657-64-8";"100.101.068";"100 mg/L (1)";NA;100;100;"N/A"
"1466-76-8";"100.014.533";NA;NA;NA;NA;"Missing_PNEC"
"14666-78-5";"100.035.174";NA;NA;NA;NA;"Missing_PNEC"
"146763-69-1";"100.148.930";NA;NA;NA;NA;"Missing_PNEC"
"1467668-33-2";"100.101.308";"7.56 mg/L (1)";NA;7.56;7.56;"N/A"
"1468-95-7";"100.014.544";NA;NA;NA;NA;"Missing_PNEC"
"146805-74-5";"100.105.209";NA;NA;NA;NA;"Missing_PNEC"
"14689-29-3";"100.035.194";"71 mg/L (1)";NA;71;71;"N/A"
"146905-79-5";"100.112.824";NA;NA;NA;NA;"Missing_PNEC"
"14691-80-6";"100.035.199";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"14691-89-5";"100.102.239";NA;NA;NA;NA;"Missing_PNEC"
"14692-76-3";"100.035.203";NA;NA;NA;NA;"Missing_PNEC"
"146925-83-9";"100.101.531";NA;NA;NA;NA;"Missing_PNEC"
"146939-27-7";"100.106.954";NA;NA;NA;NA;"Missing_PNEC"
"14694-95-2";"100.035.207";NA;NA;NA;NA;"Missing_PNEC"
"1469982-91-9";"100.224.604";"10 mg/L (1)";NA;10;10;"N/A"
"1469982-92-0";"100.225.110";"5.57 mg/L (1)";NA;5.57;5.57;"N/A"
"1469982-93-1";"100.225.505";"-";NA;NA;NA;"Missing_PNEC"
"1469982-94-2";"100.225.937";"100 mg/L (1)";NA;100;100;"N/A"
"1469982-95-3";"100.220.621";"117.4 mg/L (1)";NA;117.4;117.4;"N/A"
"1469982-98-6";"100.226.313";"63 µg/L (1)";NA;0.063;0.063;"N/A"
"1469983-05-8";"100.226.320";"-";NA;NA;NA;"Missing_PNEC"
"1469983-39-8";"100.226.461";"30.86 mg/L (1)";NA;30.86;30.86;"N/A"
"1469983-41-2";"100.226.639";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"1469983-43-4";"100.226.664";"180 mg/L (1)";NA;180;180;"N/A"
"1469983-44-5";"100.226.638";"9.8 g/L (1)";NA;9800;9800;"N/A"
"1469983-46-7";"100.226.730";"625 µg/L (1)";NA;0.625;0.625;"N/A"
"1469983-49-0";"100.226.737";"100 mg/L (1)";NA;100;100;"N/A"
"1469983-50-3";"100.226.736";"100 mg/L (1)";NA;100;100;"N/A"
"147-14-8";"100.005.169";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"147-52-4";"100.005.174";NA;NA;NA;NA;"Missing_PNEC"
"147-71-7";"100.005.178";NA;NA;NA;NA;"Missing_PNEC"
"147-85-3";"100.005.185";"50 mg/L (1)";NA;50;50;"N/A"
"147027-04-1";"100.101.108";NA;NA;NA;NA;"Missing_PNEC"
"147027-10-9";"100.102.371";NA;NA;NA;NA;"Missing_PNEC"
"14708-87-3";"100.238.731";"Inf";NA;Inf;Inf;"Hazard_unlikely/not_identified"
"147086-81-5";"100.101.616";NA;NA;NA;NA;"Missing_PNEC"
"147086-83-7";"100.129.104";NA;NA;NA;NA;"Missing_PNEC"
"147116-67-4";"100.267.733";NA;NA;NA;NA;"Missing_PNEC"
"147118-36-3";"100.109.497";NA;NA;NA;NA;"Missing_PNEC"
"147118-40-9";"100.131.659";NA;NA;NA;NA;"Missing_PNEC"
"147126-62-3";"100.124.450";NA;NA;NA;NA;"Missing_PNEC"
"147127-20-6";"100.129.993";NA;NA;NA;NA;"Missing_PNEC"
"147128-77-6";"100.111.274";NA;NA;NA;NA;"Missing_PNEC"
"1471311-24-6";"100.226.744";"10 mg/L (1)";NA;10;10;"N/A"
"1471311-26-8";"100.226.747";"45.5 mg/L (1)";NA;45.5;45.5;"N/A"
"1471311-28-0";"100.224.745";NA;NA;NA;NA;"Missing_PNEC"
"1471311-60-0";"100.226.771";"1.37 mg/L (1)";NA;1.37;1.37;"N/A"
"1471311-93-9";"100.226.800";"100 mg/L (1)";NA;100;100;"N/A"
"1471312-26-1";"100.226.873";"4 mg/L (1)";NA;4;4;"N/A"
